First Name,Last Name,Date of Birth,Address,Phone Number,Email,Password,ID Number,Checking Account Number,Checking Account Balance,Savings Account Number,Savings Account Balance,Credit Account Number,Credit Account Balance,Credit Account Limit
Daniel,F,"July 15 1940","500 W. University Ave El Paso TX 79968",(915) 747-5051,DanielF@disney.com,F*Daniel!987,88,1087,1102.06,2087,4254.63,3087,-1747.66,9042.0
First Name,Last Name,Date of Birth,Address,Phone Number,Email,Password,ID Number,Checking Account Number,Checking Account Balance,Savings Account Number,Savings Account Balance,Credit Account Number,Credit Account Balance,Credit Account Limit
Daniel,G,"October 17 1961","500 W. University Ave El Paso TX 79968",(915) 747-5052,DanielG@disney.com,G*Daniel!987,89,1088,1634.77,2088,2529.43,3088,-999.57,7207.0
First Name,Last Name,Date of Birth,Address,Phone Number,Email,Password,ID Number,Checking Account Number,Checking Account Balance,Savings Account Number,Savings Account Balance,Credit Account Number,Credit Account Balance,Credit Account Limit
Daniel,H,"July 27 2009","500 W. University Ave El Paso TX 79968",(915) 747-5053,DanielH@disney.com,H*Daniel!987,90,1089,1339.48,2089,3040.89,3089,-1689.39,9798.0
First Name,Last Name,Date of Birth,Address,Phone Number,Email,Password,ID Number,Checking Account Number,Checking Account Balance,Savings Account Number,Savings Account Balance,Credit Account Number,Credit Account Balance,Credit Account Limit
Daniel,I,"October 31 1933","500 W. University Ave El Paso TX 79968",(915) 747-5054,DanielI@disney.com,I*Daniel!987,91,1090,1238.97,2090,4566.66,3090,-1898.03,6513.0
First Name,Last Name,Date of Birth,Address,Phone Number,Email,Password,ID Number,Checking Account Number,Checking Account Balance,Savings Account Number,Savings Account Balance,Credit Account Number,Credit Account Balance,Credit Account Limit
Daniel,J,"February 15 2005","500 W. University Ave El Paso TX 79968",(915) 747-5055,DanielJ@disney.com,J*Daniel!987,92,1091,317.72,2091,1518.04,3091,-1113.22,3023.0
